Region,Channel,Channel Market,Genre,Channel Language,Brand,Viewing Minutes,Impact,Cost,Spots,Durations,OTS,Sync_Reach,Impressions,GRP
TN,vasanth tv,TN,Tamil GEC,tamil,godrej expert rich creme hair colour,406055.12,1.234,4160,20,400,1.37,1.32,76.58,0.61
TN,vendhar tv,TN,Tamil GEC,tamil,godrej expert rich creme hair colour,353229.15,7.2743,31232,256,5120,2.05,2.4,705.35,5.66
TN,zee tamil,TN,Tamil GEC,tamil,garnier black naturals,14733184.47,216.4981953,1519258,210,4615,7.93,27.355,30808.75,247.06
TN,zee tamil,TN,Tamil GEC,tamil,godrej expert rich creme hair colour,14733184.47,21.7984,168828,11,220,1.78,8.355,2159.61,17.32
TN,zee thirai,TN,Tamil Movies,tamil,godrej expert rich creme hair colour,3075667.51,10.0443,17696,28,560,1.51,3.46,620.11,4.97
UP,b4u bhojpuri,UP,Bhojpuri Movies FTA,bhojpuri,godrej expert rich creme hair colour,1505198.19,58.1829,264000,264,5280,4.095,7.425,3115.81,61.45
UP,bhojpuri cinema,UP,Bhojpuri Movies FTA,bhojpuri,godrej expert rich creme hair colour,1385342.41,4.2674,32164,22,440,1.275,1.89,179.86,3.45
UP,manoranjan prime,UP,Bhojpuri GEC,hindi,godrej expert rich creme hair colour,345300.02,1.1583,59072,52,1040,1.23,0.7575,67.6,1.14
UP,oscar movies bhojpuri,UP,Bhojpuri Movies FTA,bhojpuri,godrej expert rich creme hair colour,710169.15,7.2734,26076,82,1640,2.025,2.3,298.38,7.21
UP,pasand,UP,Bhojpuri Movies FTA,hindi,godrej expert rich creme hair colour,744686.46,2.6168,5480,20,400,1.505,2.2325,154.18,3.73
UP,zee biskope,UP,Bhojpuri Movies FTA,bhojpuri,garnier black naturals,1249580.17,0.330315056,11728,8,160,1.09,0.9825,22.62,0.39
UP,zee biskope,UP,Bhojpuri Movies FTA,bhojpuri,godrej expert rich creme hair colour,1249580.17,17.0538,217664,152,3040,1.97,3.6225,791.07,14.29
WB,aakash aath,WB,Bengali GEC,bengali,garnier black naturals,940964.75,31.61135319,475881,289,6510,6,5.825,3085.67,34.23
WB,aakash aath,WB,Bengali GEC,bengali,godrej expert rich creme hair colour,940964.75,3.8325,45012,31,620,1.91,2.225,354.72,3.94
WB,colors bangla,WB,Bengali GEC,bengali,godrej expert rich creme hair colour,725228.29,25.045,476658,273,5460,3.45,7.03,2432.37,26.98
WB,colors bangla cinema,WB,Bengali Movies,bengali,garnier black naturals,1739563.26,62.98471944,319538.5,220,4985,3.5,16.12,5655.85,62.75
WB,colors bangla cinema,WB,Bengali Movies,bengali,godrej expert rich creme hair colour,1739563.26,44.1918,210084,183,3660,2.47,10.025,2493.36,27.66
WB,jalsha movies,WB,Bengali Movies,bengali,garnier black naturals,1629913.04,59.25338867,326318,217,4885,3.34,15.24,5588.02,61.99
WB,jalsha movies,WB,Bengali Movies,bengali,godrej expert rich creme hair colour,1629913.04,44.666,284596,169,3380,2.41,9.385,2582.96,28.66
WB,khushboo bangla,WB,Bengali Movies FTA,bengali,garnier black naturals,454810.34,19.10044291,256425,430,9750,3.93,7.41,2585.32,28.68
WB,r plus gold,WB,Bengali GEC,bengali,garnier black naturals,207684.08,11.3919452,62790,267,5980,4.18,2.195,929.56,10.31
WB,rongeen tv,WB,Kids,assamese,godrej expert rich creme hair colour,305033.4,27.813,107262,531,10620,5.09,5.63,2661.09,29.52
WB,sony aath,WB,Bengali GEC,bengali,garnier black naturals,1579929.43,26.70676659,215838,168,3780,4.43,9.415,4072.39,45.18
WB,sony aath,WB,Bengali GEC,bengali,godrej expert rich creme hair colour,1579929.43,60.9057,126284,241,4820,5.95,10.195,6076.08,67.41
WB,star jalsha,WB,Bengali GEC,bengali,garnier black naturals,11929794.95,199.6011588,3697380,219,4920,10.74,28.415,28597.52,317.26
WB,star jalsha,WB,Bengali GEC,bengali,godrej expert rich creme hair colour,11929794.95,160.133,1142588,82,1640,6.76,23.165,15720.96,174.41
WB,sun bangla,WB,Bengali GEC,bengali,godrej expert rich creme hair colour,1370929.01,8.827,146160,70,1400,2.27,4.21,889.21,9.86
WB,sun bangla hd,WB,Bengali GEC HD,bengali,godrej expert rich creme hair colour,137996.56,1.4835,14560,70,1400,7.4,0.65,187.19,2.08
WB,zee bangla,WB,Bengali GEC,bengali,garnier black naturals,10641407.18,101.743861,2020551,113,2515,5.8,24.14,14144.57,156.92
WB,zee bangla,WB,Bengali GEC,bengali,godrej expert rich creme hair colour,10641407.18,115.2933,1730416,74,1480,4.72,22.135,10269.09,113.92
WB,zee bangla cinema,WB,Bengali Movies,bengali,garnier black naturals,1627199.64,62.05873553,452760,246,5390,3.88,13.39,5082.76,56.39
WB,zee bangla cinema,WB,Bengali Movies,bengali,godrej expert rich creme hair colour,1627199.64,35.5853,73776,87,1740,2.27,9.015,2015.35,22.36
WB,zee bangla hd,WB,Bengali GEC HD,bengali,garnier black naturals,683683.17,9.014051188,0,120,2675,10.42,1.97,1212.48,13.45
