Region,Channel,Channel Market,Genre,Channel Language,Brand,Viewing Minutes,Impact,Cost,Spots,Durations,OTS,Sync_Reach,Impressions,GRP
HSM,zee cinema,HSM,Hindi Movies,hindi,garnier black naturals,19285037.79,359.0941998,10642245,1040,23550,2.268,11.499,33926.06,164.59
HSM,zee cinema,HSM,Hindi Movies,hindi,godrej expert rich creme hair colour,19285037.79,267.4784,4288060,545,10900,2.174,6.505,16091.12,79.6
HSM,zee cinema hd,HSM,Hindi Movies HD,hindi,godrej expert rich creme hair colour,1639994.4,4.892,712620,185,3700,1.456,1.029,214.92,1.41
HSM,zee classic,HSM,Hindi Movies,hindi,garnier black naturals,5053133.91,159.8020021,1145812.5,965,21825,2.28,5.39,13239.1,66.97
HSM,zee classic,HSM,Hindi Movies,hindi,godrej expert rich creme hair colour,5053133.91,76.019,556260,365,7300,1.874,3.012,4326.38,22.1
HSM,zee tv,HSM,Hindi GEC 1,hindi,garnier black naturals,32916116.67,583.2892783,13743840,910,15675,9.128,9.277,86264.82,427.51
HSM,zee tv,HSM,Hindi GEC 1,hindi,godrej expert rich creme hair colour,32916116.67,320.658,8774890,355,7100,4.094,7.847,32999.52,165.94
HSM,zee tv hd,HSM,Hindi GEC HD,hindi,garnier black naturals,3002339.5,21.18621683,268065,300,1850,5.064,1.177,2647,17.25
HSM,zing,HSM,Hindi Music FTA,hindi,garnier black naturals,1384950.99,0.799761549,17840,20,400,1.018,1.252,115.64,0.72
HSM,zoom,HSM,Hindi Music,hindi,godrej expert rich creme hair colour,2537457.59,23.65,316590,305,6100,1.61,2.04,2180.64,11.05
KAR,colors kannada,KAR,Kannada GEC,kannada,garnier black naturals,6980976.81,118.2684611,794941,181,4085,6.03,28.31,15462.51,191.5
KAR,colors kannada,KAR,Kannada GEC,kannada,godrej expert rich creme hair colour,6980976.81,13.6481,142884,21,420,1.68,6.925,1210.75,14.99
KAR,colors kannada cinema,KAR,Kannada Movies,kannada,godrej expert rich creme hair colour,1748535.81,23.6775,73920,80,1600,1.87,7.36,1325.24,16.41
KAR,colors kannada hd,KAR,Kannada GEC HD,kannada,garnier black naturals,1274376.29,18.63092225,0,179,4045,7.75,4.235,2681.28,33.2
KAR,colors kannada hd,KAR,Kannada GEC HD,kannada,godrej expert rich creme hair colour,1274376.29,2.9809,19140,30,600,1.64,2.185,265.51,3.29
KAR,colors super,KAR,Kannada GEC,kannada,godrej expert rich creme hair colour,721548.09,9.1177,82688,76,1520,1.99,4.96,717.31,8.88
KAR,public music,KAR,Kannada Music,kannada,garnier black naturals,1037337.45,127.4643336,216405,458,10305,5.95,18.72,9797.54,121.34
KAR,sirikannada all time,KAR,Kannada Movies FTA,kannada,garnier black naturals,1550947.42,72.09455159,249679.5,198,4515,10.99,12.09,10786.43,133.59
KAR,star suvarna,KAR,Kannada GEC,kannada,garnier black naturals,9446128.97,66.92752392,299981.5,77,1735,5.18,20.545,9506.85,117.75
KAR,star suvarna,KAR,Kannada GEC,kannada,godrej expert rich creme hair colour,9446128.97,34.0044,122352,24,480,4.56,7.99,3353.54,41.53
KAR,star suvarna plus,KAR,Kannada GEC,kannada,godrej expert rich creme hair colour,2444254.15,80.2654,67782,143,2860,3.07,15.705,4671.25,57.86
KAR,udaya comedy,KAR,Kannada Comedy,kannada,godrej expert rich creme hair colour,931926.33,80.8027,202124,338,6760,2.78,13.41,3850.26,47.68
KAR,udaya movies,KAR,Kannada Movies,kannada,godrej expert rich creme hair colour,3547377.63,90.4042,236042,107,2140,3.04,17.755,5251.68,65.03
KAR,udaya music,KAR,Kannada Music,kannada,garnier black naturals,1596186.9,75.98543135,197456,291,6560,4.18,16.72,6818.39,84.44
KAR,udaya music,KAR,Kannada Music,kannada,godrej expert rich creme hair colour,1596186.9,47.8903,127310,145,2900,2.4,11.14,2496.42,30.93
KAR,udaya tv,KAR,Kannada GEC,kannada,garnier black naturals,3740286.81,19.65881105,194512.5,54,1235,1.99,14.32,2740.09,33.93
KAR,udaya tv,KAR,Kannada GEC,kannada,godrej expert rich creme hair colour,3740286.81,211.5117,1134440,359,7180,7.55,30.525,20041.67,248.2
KAR,udaya tv hd,KAR,Kannada GEC HD,kannada,godrej expert rich creme hair colour,461155.21,2.802,2210,17,340,3.36,2.52,257.47,3.19
KAR,zee kannada,KAR,Kannada GEC,kannada,garnier black naturals,14471360.45,126.2606264,1076763,108,2455,6.39,29.98,17454.02,216.15
KAR,zee kannada,KAR,Kannada GEC,kannada,godrej expert rich creme hair colour,14471360.45,223.327,1214752,136,2720,7.71,31.925,20797.25,257.55
KAR,zee kannada hd,KAR,Kannada GEC HD,kannada,godrej expert rich creme hair colour,2496230.78,40.4449,123216,136,2720,10.59,6.28,4224.49,52.31
KAR,zee picchar,KAR,Kannada Movies,kannada,godrej expert rich creme hair colour,1781455.17,95.6689,191840,220,4400,3.03,18.695,5078.84,62.89
MAH,9x jhakaas,MAH,Marathi Music,marathi,garnier black naturals,221402.45,27.26922624,0,642,14495,5.67,2.795,2161.63,13.15
MAH,9x jhakaas,MAH,Marathi Music,marathi,godrej expert rich creme hair colour,221402.45,42.288,201654,659,13180,4.95,3.72,2016.41,12.27
MAH,colors marathi,MAH,Marathi GEC,marathi,garnier black naturals,2405824.03,94.56701107,520194,316,7185,6.66,8.82,10242.05,62.31
MAH,colors marathi,MAH,Marathi GEC,marathi,godrej expert rich creme hair colour,2405824.03,8.9903,95480,31,620,1.99,3.575,792.01,4.82
MAH,fakt marathi,MAH,Marathi Movies FTA,marathi,godrej expert rich creme hair colour,831154.66,12.6212,80964,78,1560,2.42,3.045,910.31,5.54
MAH,maiboli,MAH,Marathi GEC,marathi,garnier black naturals,190383.64,14.45906862,1088622,613,13815,3.98,2.61,2008.15,12.22
MAH,maiboli,MAH,Marathi GEC,marathi,godrej expert rich creme hair colour,190383.64,12.678,181152,444,8880,2.81,2.775,1203.39,7.32
MAH,pravah picture,MAH,Marathi Movies,marathi,godrej expert rich creme hair colour,1298748.33,69.4571,971776,256,5120,3.02,6.695,3624.96,22.05
MAH,shemaroo marathibana,MAH,Marathi Movies FTA,marathi,godrej expert rich creme hair colour,1449910.64,137.7423,87000,300,6000,5.19,7.76,6627.98,40.32
MAH,sony marathi,MAH,Marathi GEC,marathi,garnier black naturals,2304585.69,119.0159501,640035,575,12930,7.31,11.59,15465.52,94.09
MAH,sony marathi,MAH,Marathi GEC,marathi,godrej expert rich creme hair colour,2304585.69,69.5185,291046.2,286,5718,4.39,8.35,5986.24,36.42
MAH,star pravah,MAH,Marathi GEC,marathi,garnier black naturals,19726775.49,773.6645606,3646566,412,6930,23.9,25.825,101932.8,620.14
MAH,star pravah,MAH,Marathi GEC,marathi,godrej expert rich creme hair colour,19726775.49,614.1134,2596290,185,3700,13.36,23.645,54319.56,330.47
MAH,star pravah hd,MAH,Marathi GEC HD,marathi,godrej expert rich creme hair colour,1201024.84,36.98,104304,246,4920,12.06,2.24,3231.68,19.66
MAH,zee 24 taas,MAH,Marathi News,marathi,godrej expert rich creme hair colour,555099.65,7.2948,28116,33,660,1.33,1.635,367.92,2.24
MAH,zee chitramandir,MAH,Marathi Movies FTA,telugu,godrej expert rich creme hair colour,476151.01,45.0585,509796,441,8820,10.71,1.71,2945.59,17.92
MAH,zee marathi,MAH,Marathi GEC,marathi,garnier black naturals,11553035.84,273.3991351,905925,161,1410,14.4,15.245,38003.33,231.21
MAH,zee marathi,MAH,Marathi GEC,marathi,godrej expert rich creme hair colour,11553035.84,214.2473,1849056,187,3740,7.68,14.44,19692.5,119.81
MAH,zee marathi hd,MAH,Marathi GEC HD,marathi,garnier black naturals,1277984.57,24.60699759,0,164,1455,13.94,2.31,3748.16,22.8
MAH,zee marathi hd,MAH,Marathi GEC HD,marathi,godrej expert rich creme hair colour,1277984.57,2.9693,155856,34,680,3.09,1.565,293.43,1.79
MAH,zee talkies,MAH,Marathi Movies,marathi,garnier black naturals,2741169.57,16.93370378,37814,33,740,1.81,4.37,1327.97,8.08
MAH,zee talkies,MAH,Marathi Movies,marathi,godrej expert rich creme hair colour,2741169.57,158.2307,592288,223,4460,3.7,10.64,7632.63,46.44
MAH,zee talkies hd,MAH,Marathi Movies HD,marathi,garnier black naturals,207949.47,1.683533006,0,59,1330,1.94,0.49,166.46,1.01
MAH,zee talkies hd,MAH,Marathi Movies HD,marathi,godrej expert rich creme hair colour,207949.47,3.0297,44080,38,760,3.78,1.455,238.9,1.45
MAH,zee yuva,MAH,Marathi GEC,marathi,garnier black naturals,1102281.63,3.419263978,62250,67,1500,1.43,3.02,460.37,2.8
MAH,zee yuva,MAH,Marathi GEC,marathi,godrej expert rich creme hair colour,1102281.63,49.9155,395352,323,6460,2.98,8.81,4587.09,27.91
Orissa,prarthana life,Orissa,Odisha Spiritual,multi,godrej expert rich creme hair colour,172750.03,10.9828,113568,273,5460,4.66,8.59,788.92,41.47
Orissa,siddharth gold,Orissa,Odia GEC,hindi,godrej expert rich creme hair colour,216899.61,16.5258,104146,301,6020,4.33,11.38,1060.08,55.71
Orissa,siddharth tv,Orissa,Odia GEC,odia,godrej expert rich creme hair colour,712734.46,8.2682,17690,61,1220,3.15,11.69,787.14,41.37
Orissa,sidharth utsav,Orissa,Odisha Spiritual,multi,godrej expert rich creme hair colour,349625.51,2.7946,6800,20,400,2.08,5.265,176.26,9.27
Orissa,tarang,Orissa,Odia GEC,odia,godrej expert rich creme hair colour,1310225.1,28.8592,235420,158,3160,4.6,22.85,2339.27,122.9
Orissa,tarang music,Orissa,Odia Music,odia,godrej expert rich creme hair colour,132941.09,8.1044,17324,122,2440,2.69,4.995,314.59,16.53
Orissa,zee sarthak,Orissa,Odia GEC,odia,godrej expert rich creme hair colour,1872236.6,19.2028,130680,90,1800,4.89,19.49,1870.94,98.31
Punjab,9x tashan,Punjab,Punjabi Music,punjabi,garnier black naturals,122826.37,8.247944954,0,408,9080,2.21,3.9825,548.6,16.19
